CODE,REGION,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,CATEGORIA,TIPO_DE_CATEGORIA,SUB_TIPO_CATEGORIA,URL,LATITUD,LONGITUD,REGION_GEOGRAFICA
10010,LIMA,LIMA,PACHACAMAC,Feria Turística Municipal De Pachacámac,FOLCLORE,FERIAS Y MERCADOS,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10010,,,0
11449,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,Laguna Cóndor Huaca,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11449,-79.450278,-5.061389,0
11498,PUNO,CHUCUITO,JULI,Restos Fósiles De Choccocconiri,MANIFESTACIONES CULTURALES,MUSEOS Y OTROS,Salas de Exhibición,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11498,-69.58604778766538,-16.318836684000477,1
12247,PIURA,HUANCABAMBA,SONDOR,Higos Con Quesillo,FOLCLORE,GASTRONOMIA,Dulces Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12247,,,0
11617,LIMA,HUAURA,SAYAN,Alfajor De Sayán,FOLCLORE,GASTRONOMIA,Dulces Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11617,,,0
13507,LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,Bosque De Pino De Chanchana  San Andrés De Tupicocha,SITIOS NATURALES,ZONAS PAISAJISTICAS,Bosques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13507,-76.461708,-12.015492,0
10740,LIMA,CANETE,MALA,Sopa Bruta Y Carapulcra,FOLCLORE,GASTRONOMIA,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10740,,,0
13672,PIURA,MORROPON,SANTA CATALINA DE MOSSA,Mirador De Lagunas,SITIOS NATURALES,ZONAS PAISAJISTICAS,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13672,-79.86270377829,-5.124500319539,0
12857,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,Sitio Arqueológico Casona Tampum,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12857,-76.44869105220913,-10.46931861407787,1
10811,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,Danza De Los Pallas O Kiyayas,FOLCLORE,MUSICAS Y DANZAS,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10811,,,0
13099,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,Fiesta De La Santísima Virgen De La Puerta Patrona De Los Mineros,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13099,,,0
10080,LIMA,LIMA,PACHACAMAC,Tradicional Semana Santa De Pachacámac,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10080,,,0
12139,LIMA,LIMA,ANCON,Zona Monumental De Ancón,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12139,-77.17533,-11.77376,0
10299,LIMA,HUARAL,CHANCAY,Plaza De Armas De Chancay,MANIFESTACIONES CULTURALES,LUGARES HISTORICOS,Plaza,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10299,-77.26996200000002,-11.562711,0
12270,LIMA,CANETE,QUILMANA,Bodega Peirano,REALIZACIONES TECNICAS CIENTIFICAS Y ARTISTICAS CONTEMPORANEAS,EXPLOTACIONES INDUSTRIALES,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12270,-76.41471,-12.96957,0
13526,LIMA,HUAROCHIRI,CUENCA,Sombrero Macora De San José  De Los Chorrillos                   ,FOLCLORE,ARTESANIA Y ARTES,Indumentaria,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13526,,,0
11751,MADRE DE DIOS,MANU,MANU,Cocha Isla De Los Valles,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11751,-70.919537,-12.26462,2
11892,CUSCO,LA CONVENCION,PICHARI,Cascada De Pichari,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11892,-73.811346,-12.521928,1
10099,LIMA,LIMA,PACHACAMAC,Sitio Arqueológico Cardal,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10099,-76.84959515944,-12.18688411223,0
11760,MADRE DE DIOS,MANU,FITZCARRALD,Cocha Brashco,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11760,-70.008578,-12.171689,2
11750,MADRE DE DIOS,MANU,MANU,Río Manu,SITIOS NATURALES,CORRIENTES DE AGUA,Ríos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11750,-71.123456,-12.082827,2
12500,LIMA,LIMA,ANCON,Lomas De Ancón - Área De Conservación Regional Sistema De Lomas De Lima,SITIOS NATURALES,AREAS PROTEGIDAS,Áreas de conservación regional,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12500,-77.14056753448484,-11.72612709115374,0
11251,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,Parroquia Espíritu Santo De Chacayán,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11251,-76.43734497995098,-10.4340869295289,1
11897,CUSCO,LA CONVENCION,PICHARI,Cascada Piscina Natural De Nogalpampa,SITIOS NATURALES,CAIDAS DE AGUA,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11897,-73.829945,-12.435556,1
12335,AYACUCHO,HUAMANGA,ACOCRO,Lagunas De Tarhuiyocc,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12335,-73.98760471164755,-13.417214338625152,1
12473,PUNO,SANDIA,LIMBANI,Baños Termales De Baño Pampa,SITIOS NATURALES,AGUA TERMOMINERAL,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12473,-69.69052825257029,-14.15705205852618,1
10846,CUSCO,CALCA,CALCA,Escenificación Del Mito De Unu Urqo,ACONTECIMIENTOS PROGRAMADOS,ARTISTICOS,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10846,,,1
10122,LIMA,LIMA,LURIN,Plaza De Armas De Lurín,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Plazas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10122,-76.8689779,-12.2731909,0
